"ticker","rsi","rs","price","price_change","price_change_ratio","price_change_ratio_1m","id","title","source","publish_date"
"FHN","0","","14000","0","0","0","11155869","FHN: Thay đổi nhân sự","TCBS","2024-04-16 14:47:00"
"FHN","0","","14000","0","0","0","11155771","FHN: Nghị quyết Đại hội đồng cổ đông thường niên năm 2024","TCBS","2024-04-16 14:21:00"
"FHN","0","","14000","0","0","0","11123351","FHN: Tài liệu họp Đại hội đồng cổ đông","TCBS","2024-03-20 16:48:00"
"FHN","0","","14000","0","0","0","11121933","FHN: Tài liệu họp Đại hội đồng cổ đông","TCBS","2024-03-19 15:05:00"
"FHN","0","","14000","0","0","0","11111420","FHN: Thông báo về trạng thái chứng khoán của cổ phiếu FHN","TCBS","2024-03-08 11:12:00"
"FHN","0","","14000","0","0","0","11111421","FHN: Quyết định về việc đưa ra khỏi diện cảnh báo","TCBS","2024-03-08 11:11:00"
"FHN","0","","14000","0","0","0","11109973","FHN: Báo cáo thường niên 2023","TCBS","2024-03-07 11:23:00"
"FHN","0","","14000","0","0","0","11109974","FHN: Báo cáo tài chính năm 2023","TCBS","2024-03-07 11:18:00"
"FHN","0","","14000","0","0","0","11108752","FHN: Thông báo đề cử/ứng cử thành viên Ban Kiểm soát Công ty nhiệm kỳ 2020 - 2025","TCBS","2024-03-06 15:07:00"
"FHN","0","","14000","0","0","0","11108659","FHN: Thay đổi giấy đăng ký kinh doanh","TCBS","2024-03-06 14:53:00"
"FHS","49.2","","31000","0","0","-0.046","11288440","FHS: Phạm Minh Thuận - Chủ tịch HĐQT, Người đại diện theo pháp luật - đã bán 3.000.000 CP","TCBS","2024-08-13 10:07:00"
"FHS","49.2","","","","","","11286586","Ồ ạt mở hơn 7 nhà sách mới từ đầu năm, Fahasa thu về hơn 12 tỷ đồng mỗi ngày trong quý 2/2024","TCBS","2024-08-11 13:31:00"
"FHS","24.4","","28100","0","0","-0.122","11281171","FHS: Giải trình lợi nhuận sau thuế báo cáo tài chính công ty mẹ quý 2/2024","TCBS","2024-08-05 15:03:00"
"FHS","62.4","","28100","-3900","-0.122","-0.108","11279196","FHS: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt","TCBS","2024-08-02 13:56:00"
"FHS","62.4","","32000","0","0","0.022","11277731","FHS: Đính chính Báo cáo tài chính quý2/ 2024","TCBS","2024-08-01 14:16:00"
"FHS","62.4","","32000","0","0","0.022","11277026","FHS: Báo cáo tài chính quý 2/2024 (công ty mẹ)","TCBS","2024-08-01 10:34:00"
"FHS","62.4","","32000","0","0","0.022","11277018","Fahasa: Kinh doanh sách giáo khoa phải chịu chi phí rất lớn trong khi chiết khấu phát hành chỉ 8-10%, gần như không có lợi nhuận","TCBS","2024-08-01 10:32:00"
"FHS","62.4","","32000","0","0","0.022","11276009","FHS: Nghị quyết Hội đồng quản trị","TCBS","2024-07-31 15:14:00"
"FHS","62.4","","32000","0","0","0.022","11276011","FHS: Thông báo ngày đăng ký cuối cùng thực hiện nhận tạm ứng cổ tức đợt 1 năm 2024","TCBS","2024-07-31 15:13:00"
"FHS","62.4","","32000","0","0","0.022","11273124","FHS: Báo cáo tài chính quý 2/2024","TCBS","2024-07-30 10:08:00"
"FHS","62.4","","32000","0","0","0.022","11273053","FHS: Phạm Minh Thuận - Chủ tịch HĐQT, Người đại diện theo pháp luật - đăng ký bán 3.000.000 CP","TCBS","2024-07-30 09:55:00"
"FHS","64.1","","32000","-100","-0.003","0.032","11270519","FHS: Báo cáo quản trị công ty bán niên 2024","TCBS","2024-07-26 16:46:00"
"FHS","57.2","","31000","0","0","-0.075","11176573","FHS: Báo cáo tài chính quý 1/2024","TCBS","2024-05-07 17:48:00"
"FHS","57.2","","31000","0","0","-0.075","11175579","FHS: Báo cáo tài chính quý 1/2024 (công ty mẹ)","TCBS","2024-05-07 09:30:00"
